"PTLA";"CTSO";"LGND";"CIZN";"AMBC";"GBT";"SITO";"ADP";"RDI";"ADRO";"CENTA";"SELF";"CSWI";"IOTS";"KINS";"BSF";"GFN";"JJSF";"CMRX";"FUSB";"HMSY";"SMBK";"IFON";"CGNT";"COBZ";"CSTR";"IART";"SNMX";"FRTA";"XGTI";"AAXN"
53,1;6,725;134,54;23,6;15,04;44,875;6,25;115,78;16;8,275;39,24;4,7;47,4;7,375;19,05;10,24;6,4;149,59;4,345;13,77;16,41;21,76;1,42;3,02;20,42;21,44;48,63;1,61;9,17;1,6519;24,53
52,98;6,725;134,69;23,6;15,04;44,8;6,225;115,77;15,9799;8,225;39,245;4,7;47,35;7,35;19;10,24;6,4;149,575;4,34;13,6912;16,405;21,8;1,47;3,0194;20,41;21,27;48,68;1,6;9,18;1,65;24,53
53,015;6,7;134,47;23,6;15,03;44,7469;6,26;115,76;15,96;8,225;39,31;4,7373;47,35;7,35;19,1;10,24;6,4;149,5375;4,35;13,7;16,41;22,015;1,47;3,01;20,48;21,74;48,68;1,62;9,18;1,65;24,53
53,01;6,7;134,625;23,65;15,02;44,6;6,27;115,765;15,96;8,225;39,3;4,7;47,25;7,325;18,95;10,23;6,4;149,35;4,34;13,9639;16,4;21,69;1,4501;3,05;20,46;21,68;48,7;1,62;9,19;1,6501;24,5268
52,99;6,7267;134,575;23,6;15,04;44,75;6,26;115,8007;15,96;8,225;39,2804;4,7;47,3;7,325;19,05;10,24;6,4;148,88;4,345;14,38;16,4;22,01;1,45;3,032;20,44;21,79;48,6988;1,62;9,2;1,6525;24,56
53,11;6,7;134,5;23,6;15,03;44,7;6,23;115,83;15,97;8,225;39,2;4,7;47,25;7,325;19,09;10,24;6,4;148,43;4,35;14,0825;16,4;21,96;1,4501;3,02;20,42;21,79;48,71;1,62;9,21;1,66;24,55
53,25;6,75;134,6;23,745;15,03;44,8;6,22;115,81;15,98;8,225;39,2803;4,7;47,25;7,35;19,05;10,24;6,4;148,85;4,345;14,11;16,4;21,85;1,45;3,015;20,44;21,18;48,68;1,62;9,26;1,6544;24,545
53,1;6,75;134,4;23,75;15,02;44,85;6,2;115,8582;16,11;8,205;39,23;4,71;47,25;7,34;19,05;10,24;6,4;148,73;4,345;14,07;16,41;21,65;1,45;3,0299;20,47;21;48,68;1,63;9,27;1,65;24,53
53,07;6,7;134,43;23,75;15,01;44,875;6,2;115,83;16,025;8,2;39,29;4,71;47,4;7,3271;18,95;10,26;6,4;148,947;4,35;14,07;16,41;21,7524;1,45;3;20,44;21,31;48,73;1,64;9,27;1,65;24,54
53,06;6,7325;134,26;23,7;15,01;45;6,21;115,81;16,09;8,2;39,29;4,7399;47,5;7,325;18,95;10,24;6,4;148,74;4,35;13,9221;16,41;21,7;1,455;2,97;20,44;21,3;48,73;1,6367;9,29;1,63;24,57
53,12;6,75;134,54;23,7;15;45,1;6,2;115,85;16,09;8,225;39,28;4,75;47,175;7,325;18,9;10,24;6,4;148,7;4,34;14,08;16,41;21,76;1,47;2,95;20,44;21,34;48,69;1,6301;9,25;1,65;24,57
53,08;6,7;134,61;23,7;15,04;45,1;6,215;115,78;16,08;8,225;39,25;4,76;47,15;7,25;18,85;10,25;6,4;148,67;4,34;13,8001;16,4;21,8;1,45;2,99;20,44;21,45;48,73;1,64;9,25;1,65;24,54
53,08;6,7;134,49;23,75;15,03;45,1;6,21;115,77;16,09;8,225;39,25;4,7598;47;7,15;18,85;10,24;6,4;148,74;4,34;13,8;16,41;21,81;1,4027;2,9601;20,44;21,7;48,73;1,64;9,28;1,65;24,55
53;6,675;134,21;23,65;15,035;45,11;6,2165;115,8;16,18;8,2;39,25;4,83;47;7,15;19;10,24;6,4;148,77;4,34;13,79;16,4;21,85;1,41;2,96;20,43;21,78;48,71;1,63;9,27;1,6415;24,55
52,965;6,65;134,09;23,75;15,03;45,3;6,23;115,82;16,185;8,2;39,24;4,76;46,9;7,15;18,9;10,23;6,4;148,54;4,34;13,7606;16,4;21,85;1,4324;2,9799;20,445;21,89;48,75;1,63;9,28;1,6367;24,55
52,94;6,6199;134,4;23,8;15,04;45,25;6,23;115,83;16,18;8,2;39,255;4,7595;46,85;7,2;19;10,24;6,4;148,77;4,34;13,75;16,4;21,85;1,42;2,98;20,43;21,68;48,74;1,62;9,28;1,65;24,55
52,85;6,625;134,3083;23,8;15,035;45,05;6,25;115,84;16,1699;8,205;39,32;4,735;47;7,15;19;10,23;6,4;148,73;4,35;13,75;16,4;21,81;1,45;2,996;20,422;21,68;48,735;1,62;9,29;1,635;24,56
52,795;6,65;134,43;23,8;15,035;44,75;6,28;115,8;16,17;8,15;39,29;4,7105;46,95;7,15;19,05;10,23;6,4;148,5;4,34;13,8;16,39;21,81;1,47;2,9748;20,44;21,64;48,7;1,61;9,28;1,64;24,55
52,83;6,65;134,26;23,8;15,03;45,05;6,27;115,82;16,08;8,15;39,3;4,71;47,1;7,175;19;10,24;6,355;148,48;4,34;13,67;16,395;21,81;1,4501;3,02;20,46;21,65;48,68;1,63;9,27;1,64;24,54
52,84;6,625;134,3299;23,8;15,03;44,95;6,27;115,82;16,07;8,15;39,28;4,71;47,1;7,15;18,95;10,23;6,4;148,455;4,34;13,8;16,395;21,81;1,46;2,99;20,46;21,55;48,67;1,6101;9,27;1,6362;24,53
52,875;6,6;134,26;23,75;15,04;45,15;6,285;115,89;16,04;8,15;39,27;4,71;46,95;7,175;18,85;10,24;6,4;148,485;4,34;13,67;16,4;21,83;1,49;3;20,445;21,6;48,7;1,63;9,28;1,66;24,53
53,08;6,625;134,31;23,95;15,03;45,15;6,28;115,89;16,03;8,175;39,22;4,71;46,85;7,175;18,875;10,2375;6,4;148,505;4,34;13,79;16,4;21,84;1,4649;2,99;20,46;21,62;48,69;1,63;9,28;1,6362;24,52
52,95;6,65;134,35;23,9885;15,04;45,05;6,3;115,865;15,91;8,16;39,24;4,7;46,6;7,175;18,9;10,24;6,4;148,39;4,34;13,7915;16,4;21,84;1,4625;2,99;20,47;21,52;48,63;1,6241;9,26;1,65;24,52
52,985;6,6499;134,5173;24;15,045;45,05;6,28;115,83;15,91;8,175;39,27;4,71;46,55;7,175;18,9;10,23;6,4;148,21;4,34;13,5;16,4;21,89;1,49;2,99;20,475;21,52;48,64;1,63;9,25;1,65;24,51
52,955;6,625;134,49;23,9;15,03;45,2;6,275;115,84;15,91;8,15;39,25;4,71;46,525;7,175;18,9;10,24;6,4;148,44;4,34;13,66;16,39;21,81;1,4616;2,99;20,47;21,5;48,63;1,61;9,23;1,65;24,51
53,04;6,65;134,42;23,75;15,03;45,25;6,29;115,83;15,94;8,175;39,26;4,7;46,65;7,175;18,95;10,23;6,4;148,405;4,35;13,6;16,39;21,95;1,48;2,95;20,44;21,52;48,64;1,63;9,23;1,65;24,51
53,125;6,625;134,39;23,255;15,02;45,4;6,29;115,9;15,91;8,175;39,29;4,7;46,65;7,175;18,95;10,23;6,4;148,25;4,345;13,986;16,39;21,876;1,49;2,95;20,45;21,63;48,6925;1,63;9,22;1,64;24,51
53,145;6,625;134,25;23,9;15,02;45,35;6,29;115,91;15,9199;8,175;39,24;4,71;46,65;7,15;18,9;10,24;6,4;148,26;4,34;13,85;16,4;21,94;1,4805;2,95;20,45;21,545;48,71;1,63;9,22;1,64;24,5
53,12;6,625;134,39;23,9;15,02;45,1423;6,28;115,89;15,94;8,15;39,2;4,71;46,6;7,175;18,95;10,24;6,4;148,47;4,34;13,6023;16,39;21,94;1,4999;2,9699;20,46;21,61;48,72;1,63;9,215;1,64;24,5
53,07;6,625;134,37;23,9;15,03;45,225;6,29;115,85;15,9599;8,175;39,24;4,71;46,75;7,15;18,95;10,2301;6,4;148,53;4,34;13,5;16,41;21,81;1,5;2,9839;20,45;21,54;48,73;1,64;9,21;1,64;24,51
53,02;6,625;134,51;23,9;15,01;45,25;6,3;115,86;15,95;8,2;39,26;4,71;46,75;7,15;18,95;10,23;6,375;148,47;4,35;13,65;16,39;21,9399;1,5101;3,008;20,46;21,57;48,725;1,63;9,2;1,6367;24,505
52,99;6,65;134,5;23,75;15,015;45,3;6,29;115,81;15,94;8,15;39,17;4,71;46,7;7,2;18,925;10,23;6,4;148,38;4,35;13,7;16,39;21,94;1,53;2,93;20,43;21,53;48,7;1,64;9,19;1,64;24,49
53,01;6,65;134,63;23,75;15,01;45,25;6,28;115,87;15,95;8,15;39,14;4,71;46,75;7,15;18,925;10,23;6,4;148,465;4,34;13,6065;16,395;21,9395;1,5115;2,9394;20,42;21,52;48,81;1,63;9,19;1,64;24,47
52,99;6,65;134,63;23,75;15,005;45,35;6,3;115,94;15,95;8,15;39,21;4,71;46,75;7,175;18,9;10,24;6,4;148,475;4,35;13,9;16,4;21,81;1,5;2,96;20,42;21,45;48,795;1,63;9,18;1,64;24,48
52,93;6,65;134,78;23,75;15,02;45,45;6,3;115,96;15,9375;8,175;39,25;4,719;46,75;7,175;18,925;10,23;6,4;148,475;4,35;13,66;16,41;21,9255;1,51;2,94;20,46;21,4;48,78;1,63;9,18;1,66;24,51
52,935;6,65;134,75;23,75;15,02;45,35;6,3;115,97;15,9799;8,15;39,26;4,71;46,75;7,15;18,9;10,23;6,4;148,42;4,34;14,06;16,405;21,81;1,5;2,95;20,46;21,37;48,85;1,63;9,19;1,66;24,51
53,01;6,65;134,81;23,65;15,02;45,525;6,3;115,94;15,98;8,175;39,22;4,7178;46,7;7,175;18,9;10,23;6,4;148,23;4,35;14,1;16,42;21,81;1,51;2,9;20,48;21,3965;48,93;1,63;9,19;1,66;24,51
53,01;6,65;134,94;23,745;15,01;45,7;6,29;115,935;16;8,15;39,21;4,71;46,7;7,175;18,9;10,23;6,4;148,35;4,35;14,1218;16,42;21,79;1,5101;2,91;20,45;21,56;48,925;1,63;9,18;1,66;24,5
53;6,65;134,805;23,555;15,015;45,7;6,3;115,98;16,0599;8,2;39,21;4,71;46,725;7,175;18,9;10,24;6,4;148,505;4,34;14,12;16,42;21,79;1,519;2,89;20,45;21,53;48,92;1,63;9,185;1,64;24,5
53;6,675;134,81;23,55;15,005;45,45;6,3;115,97;15,98;8,15;39,2;4,73;46,75;7,15;18,925;10,24;6,4;148,52;4,35;14,07;16,415;21,75;1,5199;2,89;20,48;21,54;48,88;1,6206;9,185;1,66;24,5
52,93;6,675;134,69;23,75;15;45,55;6,3;115,94;15,96;8,15;39,19;4,775;46,75;7,2;18,9;10,24;6,4;148,38;4,34;14,13;16,41;21,789;1,49;2,89;20,48;21,39;48,89;1,66;9,185;1,6508;24,49
52,94;6,65;134,69;23,255;15,01;45,7;6,34;115,97;15,95;8,15;39,18;4,73;46,75;7,1;18,925;10,235;6,4;148,35;4,35;14,17;16,405;21,79;1,49;2,9;20,47;21,52;48,92;1,67;9,19;1,66;24,495
53,02;6,675;134,69;23,255;15,01;45,7;6,28;116,02;15,95;8,2;39,17;4,81;46,75;7;18,95;10,23;6,4;148,37;4,34;14,14;16,42;21,8;1,48;2,95;20,46;21,31;48,92;1,64;9,18;1,66;24,505
